shipper,min_size,max_size,max_weight,time_frame,cost_factor
UPS,0.00,6.00,1.00,100,0.50
UPS,0.00,6.00,1.00,3,1.50
UPS,0.00,6.00,1.00,1,2.50
UPS,6.00,12.00,5.00,100,3.50
UPS,6.00,12.00,5.00,3,4.50
UPS,6.00,12.00,5.00,1,5.50
UPS,12.00,36.00,50.00,100,4.50
UPS,12.00,36.00,50.00,3,5.50
UPS,12.00,36.00,50.00,1,6.50
FEDEX,0.00,6.00,1.00,100,1.50
FEDEX,0.00,6.00,1.00,3,1.50
FEDEX,0.00,6.00,1.00,1,1.50
FEDEX,6.00,12.00,5.00,100,3.50
FEDEX,6.00,12.00,5.00,3,3.50
FEDEX,6.00,12.00,5.00,1,3.50
FEDEX,12.00,36.00,50.00,100,5.50
FEDEX,12.00,36.00,50.00,3,5.50
FEDEX,12.00,36.00,50.00,1,5.50
SHIPIT,12.00,60.00,100.00,100,5.50
SHIPIT,12.00,60.00,100.00,3,10.50
SHIPIT,12.00,60.00,100.00,1,15.50
SHIPIT,60.00,120.00,2000.00,100,10.00
SHIPIT,60.00,120.00,2000.00,3,12.00
SHIPIT,60.00,120.00,2000.00,1,15.00
